Date,Price,RSI,STATUS,D%Change,YTD%Change,Year
01-10-2023,23.18,66.34,HOLD,2.02,16.89,2023
01-09-2023,22.72,63.99,HOLD,2.02,14.57,2023
01-06-2023,22.27,61.54,HOLD,2.44,12.30,2023
01-05-2023,21.74,58.46,HOLD,1.02,9.63,2023
01-04-2023,21.52,57.14,HOLD,8.52,8.52,2023
01-03-2023,19.83,44.53,HOLD,1.12,0.00,2023
12-30-2022,19.61,42.49,HOLD,0.20,,2022
12-29-2022,19.57,42.13,HOLD,4.15,,2022
12-28-2022,18.79,34.72,HOLD,-2.49,,2022
12-27-2022,19.27,37.46,HOLD,-0.72,,2022
12-23-2022,19.41,38.28,HOLD,-1.87,,2022
12-22-2022,19.78,40.44,HOLD,-0.15,,2022
12-21-2022,19.81,40.62,HOLD,0.51,,2022
12-20-2022,19.71,39.82,HOLD,-0.40,,2022
12-19-2022,19.79,40.22,HOLD,-1.10,,2022
12-16-2022,20.01,41.28,HOLD,-0.40,,2022
12-15-2022,20.09,41.65,HOLD,-8.52,,2022
12-14-2022,21.96,51.76,HOLD,-1.17,,2022
12-13-2022,22.22,53.43,HOLD,0.05,,2022
12-12-2022,22.21,53.38,HOLD,2.40,,2022
12-09-2022,21.69,50.62,HOLD,6.06,,2022
12-08-2022,20.45,43.18,HOLD,0.54,,2022
12-07-2022,20.34,42.47,HOLD,-1.12,,2022
12-06-2022,20.57,43.53,HOLD,-6.50,,2022
12-05-2022,22.00,50.87,HOLD,-4.76,,2022
12-02-2022,23.10,57.84,HOLD,1.09,,2022
12-01-2022,22.85,56.59,HOLD,-0.13,,2022
11-30-2022,22.88,56.77,HOLD,1.69,,2022
11-29-2022,22.50,55.01,HOLD,2.74,,2022
11-28-2022,21.90,52.16,HOLD,-3.57,,2022
11-25-2022,22.71,56.67,HOLD,1.11,,2022
11-23-2022,22.46,55.57,HOLD,2.89,,2022
11-22-2022,21.83,52.76,HOLD,2.58,,2022
11-21-2022,21.28,50.20,HOLD,-1.89,,2022
11-18-2022,21.69,52.15,HOLD,1.07,,2022
11-17-2022,21.46,51.16,HOLD,1.85,,2022
11-16-2022,21.07,49.52,HOLD,-6.23,,2022
11-15-2022,22.47,55.77,HOLD,4.41,,2022
11-14-2022,21.52,51.95,HOLD,-1.42,,2022
11-11-2022,21.83,53.35,HOLD,12.41,,2022
11-10-2022,19.42,42.11,HOLD,7.00,,2022
11-09-2022,18.15,34.38,HOLD,-6.10,,2022
11-08-2022,19.33,38.86,HOLD,2.17,,2022
11-07-2022,18.92,36.18,HOLD,5.05,,2022
11-04-2022,18.01,29.83,BUY,-3.84,,2022
11-03-2022,18.73,32.18,HOLD,-3.70,,2022
11-02-2022,19.45,34.72,HOLD,-11.87,,2022
11-01-2022,22.07,47.36,HOLD,4.70,,2022
10-31-2022,21.08,39.65,HOLD,-4.14,,2022
10-28-2022,21.99,45.31,HOLD,3.00,,2022
10-27-2022,21.35,39.69,HOLD,-4.17,,2022
10-26-2022,22.28,46.08,HOLD,-1.46,,2022
10-25-2022,22.61,48.66,HOLD,2.77,,2022
10-24-2022,22.00,43.20,HOLD,-0.72,,2022
10-21-2022,22.16,44.35,HOLD,0.27,,2022
10-20-2022,22.10,43.83,HOLD,0.45,,2022
10-19-2022,22.00,43.00,HOLD,-2.44,,2022
10-18-2022,22.55,46.49,HOLD,2.04,,2022
10-17-2022,22.10,42.98,HOLD,2.36,,2022
10-14-2022,21.59,38.74,HOLD,-2.48,,2022
10-13-2022,22.14,41.86,HOLD,3.51,,2022
10-12-2022,21.39,35.27,HOLD,1.81,,2022
10-11-2022,21.01,31.63,HOLD,-1.04,,2022
10-10-2022,21.23,32.62,HOLD,-0.09,,2022
10-07-2022,21.25,32.70,HOLD,-2.03,,2022
10-06-2022,21.69,34.57,HOLD,-1.99,,2022
10-05-2022,22.13,36.50,HOLD,-2.12,,2022
10-04-2022,22.61,38.69,HOLD,1.44,,2022
10-03-2022,22.29,36.33,HOLD,3.48,,2022
09-30-2022,21.54,30.49,HOLD,0.23,,2022
09-29-2022,21.49,30.09,HOLD,-3.93,,2022
09-28-2022,22.37,33.19,HOLD,2.52,,2022
09-27-2022,21.82,28.95,BUY,-1.89,,2022
09-26-2022,22.24,30.31,HOLD,-2.24,,2022
09-23-2022,22.75,32.01,HOLD,-2.78,,2022
09-22-2022,23.40,34.29,HOLD,-2.70,,2022
09-21-2022,24.05,36.72,HOLD,-4.60,,2022
09-20-2022,25.21,41.59,HOLD,-1.37,,2022
09-19-2022,25.56,43.20,HOLD,2.86,,2022
09-16-2022,24.85,38.74,HOLD,-5.15,,2022
09-15-2022,26.20,44.97,HOLD,4.42,,2022
09-14-2022,25.09,37.26,HOLD,-1.38,,2022
09-13-2022,25.44,38.86,HOLD,-6.47,,2022
09-12-2022,27.20,48.55,HOLD,2.37,,2022
09-09-2022,26.57,43.90,HOLD,4.11,,2022
09-08-2022,25.52,34.77,HOLD,-0.85,,2022
09-07-2022,25.74,35.91,HOLD,0.23,,2022
09-06-2022,25.68,35.37,HOLD,-0.77,,2022
09-02-2022,25.88,36.31,HOLD,-1.71,,2022
09-01-2022,26.33,38.44,HOLD,-0.34,,2022
08-31-2022,26.42,38.87,HOLD,-2.22,,2022
08-30-2022,27.02,41.71,HOLD,-1.67,,2022
08-29-2022,27.48,44.00,HOLD,-1.93,,2022
08-26-2022,28.02,46.81,HOLD,-3.58,,2022
08-25-2022,29.06,52.83,HOLD,2.87,,2022
08-24-2022,28.25,47.99,HOLD,2.54,,2022
08-23-2022,27.55,43.33,HOLD,0.07,,2022
08-22-2022,27.53,43.19,HOLD,-5.10,,2022
